,Unit,Value,Year,Month,Numeric_date
814,Parts Per Million,354.99,1992.0,8.0,1992.6666666666667
816,Parts Per Million,353.01,1992.0,9.0,1992.75
818,Parts Per Million,353.41,1992.0,10.0,1992.8333333333333
820,Parts Per Million,354.42,1992.0,11.0,1992.9166666666667
822,Parts Per Million,355.68,1992.0,12.0,1993.0
824,Parts Per Million,357.1,1993.0,1.0,1993.0833333333333
826,Parts Per Million,357.42,1993.0,2.0,1993.1666666666667
828,Parts Per Million,358.59,1993.0,3.0,1993.25
830,Parts Per Million,359.39,1993.0,4.0,1993.3333333333333
832,Parts Per Million,360.3,1993.0,5.0,1993.4166666666667
834,Parts Per Million,359.64,1993.0,6.0,1993.5
836,Parts Per Million,357.45,1993.0,7.0,1993.5833333333333
838,Parts Per Million,355.76,1993.0,8.0,1993.6666666666667
840,Parts Per Million,354.14,1993.0,9.0,1993.75
842,Parts Per Million,354.23,1993.0,10.0,1993.8333333333333
844,Parts Per Million,355.53,1993.0,11.0,1993.9166666666667
846,Parts Per Million,357.03,1993.0,12.0,1994.0
848,Parts Per Million,358.36,1994.0,1.0,1994.0833333333333
850,Parts Per Million,359.04,1994.0,2.0,1994.1666666666667
852,Parts Per Million,360.11,1994.0,3.0,1994.25
854,Parts Per Million,361.36,1994.0,4.0,1994.3333333333333
856,Parts Per Million,361.78,1994.0,5.0,1994.4166666666667
858,Parts Per Million,360.94,1994.0,6.0,1994.5
860,Parts Per Million,359.51,1994.0,7.0,1994.5833333333333
862,Parts Per Million,357.59,1994.0,8.0,1994.6666666666667
864,Parts Per Million,355.86,1994.0,9.0,1994.75
866,Parts Per Million,356.21,1994.0,10.0,1994.8333333333333
868,Parts Per Million,357.65,1994.0,11.0,1994.9166666666667
870,Parts Per Million,359.1,1994.0,12.0,1995.0
872,Parts Per Million,360.04,1995.0,1.0,1995.0833333333333
874,Parts Per Million,361.0,1995.0,2.0,1995.1666666666667
876,Parts Per Million,361.98,1995.0,3.0,1995.25
878,Parts Per Million,363.44,1995.0,4.0,1995.3333333333333
880,Parts Per Million,363.83,1995.0,5.0,1995.4166666666667
882,Parts Per Million,363.33,1995.0,6.0,1995.5
884,Parts Per Million,361.78,1995.0,7.0,1995.5833333333333
886,Parts Per Million,359.33,1995.0,8.0,1995.6666666666667
888,Parts Per Million,358.32,1995.0,9.0,1995.75
